index,X_img,Y_img,latitude,longitude
TOWER,38996,30820,-22.90278042063994,-43.68320016299977
TOWER,117415,9228,-22.805927501005286,-43.33131453570198
TOWER,134752,24421,-22.87475810331457,-43.254154429716216
TOWER,134746,24585,-22.874731176039752,-43.25341841753791
TOWER,134669,24493,-22.874385609346277,-43.253831302418426
TOWER,134487,24431,-22.87356881534352,-43.25410955092486
TOWER,134996,25671,-22.879443449132584,-43.252134884105004
TOWER,134996,25728,-22.879443449132584,-43.25187907499425
TOWER,134921,25766,-22.87910685819738,-43.251708535587085
TOWER,112690,33091,-22.91217803955078,-43.351676043342145
TOWER,112595,33106,-22.91175169103286,-43.3516087251551
TOWER,15620,32840,-22.910966312184055,-43.78722920137293
TOWER,53005,28045,-22.890254749971277,-43.620257658116955
TOWER,26575,29598,-22.89550556856043,-43.737153445973114
TOWER,96381,2072,-22.774359759162454,-43.42626010670381
TOWER,25567,31675,-22.90713815128102,-43.74398848589728
TOWER,134112,24860,-22.875476163976334,-43.255774554084326
TOWER,20026,32059,-22.90740293615005,-43.76739726347082
TOWER,119191,32679,-22.91083616368911,-43.32300747142118
TOWER,119100,32649,-22.91042776668773,-43.32314210779526
TOWER,40112,30967,-22.90240343879251,-43.67715498980354
TOWER,116925,12454,-22.81988480511834,-43.33299300249885
TOWER,116920,12413,-22.819862365722656,-43.33317700554343
TOWER,130277,36628,-22.92827606201172,-43.27297210693359
TOWER,43802,28956,-22.893831589642694,-43.661047991584326
TOWER,117535,8822,-22.8046708948472,-43.331341462976795
TOWER,117530,8868,-22.804648455451517,-43.331135020536536
TOWER,117235,8865,-22.803324531106387,-43.331148484173944
TOWER,36737,29364,-22.89623260498047,-43.69332481833065
TOWER,66276,19152,-22.849284901338464,-43.559639874626605
TOWER,98906,5830,-22.789281957289752,-43.41298496021944
TOWER,98845,5814,-22.789008196662454,-43.41305676628562
TOWER,131898,38349,-22.935550914091223,-43.265248466940484
TOWER,131815,38240,-22.93517842012293,-43.265737645766315
TOWER,115198,31948,-22.907277275534238,-43.34064932430492
TOWER,115179,31778,-22.90719200583065,-43.341412263758045
TOWER,115153,31910,-22.907075320973117,-43.340819863712085
TOWER,94784,35422,-22.92337081011604,-43.432767531451056
TOWER,38155,30247,-22.89900611428654,-43.685771717744714
TOWER,38086,30135,-22.89869645062615,-43.68627436020795
TOWER,42963,5551,-22.787742614746094,-43.66376315846163
TOWER,137961,45715,-22.969941531910617,-43.239371355842145
TOWER,137926,45649,-22.969784456140857,-43.23966755586512
TOWER,37995,6720,-22.794169257668887,-43.6872392542222
TOWER,37910,6780,-22.793787787942325,-43.686969981474036
TOWER,39430,7183,-22.795223909265857,-43.679775911218975
TOWER,39334,7189,-22.794793072868796,-43.67974898394416
TOWER,31012,27062,-22.884900710161993,-43.718017129337085
TOWER,129115,21633,-22.862025990205655,-43.27923269832836
TOWER,67589,38740,-22.937754462747012,-43.55430827421301
TOWER,119144,51656,-22.99679251278148,-43.32400826846852
TOWER,117583,6399,-22.792320251464847,-43.32964953254251
TOWER,117580,6347,-22.79230678782744,-43.32988290225758
TOWER,19375,32928,-22.911661933450137,-43.77067790311925
TOWER,25176,28741,-22.892817328957953,-43.74458986170151
TOWER,117147,9147,-22.80472474939683,-43.33167805391199
TOWER,56316,37704,-22.93383654426126,-43.60563166001264
TOWER,140093,38136,-22.934630898868335,-43.228506200453815
TOWER,140043,38030,-22.934406504911536,-43.22898191564224
TOWER,69877,38311,-22.935456668629364,-43.54366751278148
